Bellek Hızı,Bluetooth Özelliği,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Kartı,Ekran Panel Tipi,eMMC Kapasitesi,Harddisk Kapasitesi,HDMI,İşlemci Cache,İşlemci Nesli,İşlemci Tipi,İşlemci,İşletim Sistemi,Kart Okuyucu,Klavye,Maksimum İşlemci Hızı,Max Ekran Çözünürlüğü,Optik Sürücü,Parmak İzi Okuyucu,Ram (Sistem Belleği),Ram Tipi,Renk,SSD Kapasitesi,Ürün Modeli,Webcam,Marka,Fiyat,Link
Belirtilmemiş,Var,1 - 2 kg,Yok,15 inç,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Liquid Retina Ekran,Yok,Yok,Var,Belirtilmemiş,Apple M2,Apple M2,Apple M2,macOS,Yok,Q Türkçe,Yok,2880 x 1864,Yok,Var,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,256 GB,Notebook,Var,Apple,41.499,https://www.hepsiburada.com//apple-macbook-air-m2-cip-8gb-256gb-ssd-macos-15-tasinabilir-bilgisayar-gece-yarisi-mqkw3tu-a-pm-HBC00004G8JQC
3200 MHz,Var,2 - 4 kg,Yok,"17,3 inç",Belirtilmemiş,2 GB,Harici Ekran Kartı,Nvidia GeForce MX350,IPS,Yok,Belirtilmemiş,Var,8 MB Cache,11.Nesil,Intel Core i5,1135G7,Yok (Free Dos),Var,Q Türkçe,"4,2 GHz",1920 x 1080,Yok,Yok,20 GB,DDR4,Gri,512 GB,Notebook,Var,Lenovo,18.999,https://www.hepsiburada.com//lenovo-ideapad-3-17itl6-intel-core-i5-1135g7-20-gb-512-gb-ssd-2gb-mx350-freedos-17-3-82h900w7tx20-pm-HBC00003VH4AL
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Paylaşımlı,WVA,Yok,Yok,Var,8 MB Cache,11.Nesil,Intel Core i5,1135G7,Windows 11 Home,Yok,Q Türkçe,"4,2 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Siyah,512 GB,Notebook,Var,Dell,14.162,https://www.hepsiburada.com//dell-inspiron-3511-intel-core-i5-1135g7-16gb-512gb-ssd-windows-11-home-15-6-tasinabilir-bilgisayar-f35obf821na67-pm-HBC00004AFTSP
2666 MHz,Var,2 kg ve Altı,Yok,"15,6 inç",GDDR4,Paylaşımlı,Dahili Ekran Kartı,Paylaşımlı,SVA,Yok,Yok,Var,12 MB Cache,11.Nesil,Intel Core i7,1165G7,Yok (Free Dos),Var,"Q Klavye, Q Türkçe","4,7 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,"Siyah, Siyah",256 GB,Notebook,Var,HP,13.265,https://www.hepsiburada.com//hp-15s-fq2019nt-intel-core-i7-1165g7-8gb-256gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-2n2m0ea-pm-HB00001ADL71
3000 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 2050,IPS,Yok,Yok,Var,12 MB Cache,12.Nesil,Intel Core i5,11400H,Yok (Free Dos),Yok,Aydınlatmalı,"4,5 GHz",1920 x 1080,Yok,Yok,32 GB,DDR4,Metalik Siyah,1 TB,Oyun Bilgisayarları,Var,Asus,21.167,https://www.hepsiburada.com//asus-tuf-gaming-f15-fx506hf-32gb-ddr4-ram-1tb-ssd-4gb-rtx2050-15-6inc-fhd-144hz-freedos-tasinabilir-bilgisayar-hn290105-zettacanta-pm-HBC00003XF1RZ
3200 MHz,Var,1 - 2 kg,Yok,14 inç,Belirtilmemiş,Belirtilmemiş,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,12 MB Cache,12.Nesil,Intel Core i5,1235U,Yok (Free Dos),Var,Numerik Tuşlar Yok,"4,4 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Gri,256 GB,Notebook,Var,HP,12.499,https://www.hepsiburada.com//hp-240g9-intel-core-i5-1235u-8-gb-256-ssd-14-fhd-fredoos-tasinabilir-bilgisayar-pm-HBC00002WO84E
4800 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,6 GB,Harici Ekran Kartı,Nvidia GeForce RTX 3060,IPS,Yok,Yok,Var,20 MB Cache,6.Nesil,AMD Ryzen 7,6800H,Yok (Free Dos),Yok,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Yok,16 GB,DDR5,Gri,512 GB,Oyun Bilgisayarları,Yok,Asus,38.549,https://www.hepsiburada.com//asus-rog-strix-g15-g513rm-hf266-ryzen-7-6800h-16gb-ddr5-ram-512gb-ssd-6gb-rtx3060-15-6-inc-fhd-300hz-tasinabilir-bilgisayar-pm-HBC00002H2C72
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",GDDR5,2 GB,Harici Ekran Kartı,Nvidia GeForce MX350,WVA,Yok,Yok,Var,8 MB Cache,11.Nesil,1135G7,1135G7,Windows 11 Pro,Var,Q Türkçe,"4,2 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Siyah,1 TB,Notebook,Var,Dell,17.361,https://www.hepsiburada.com//dell-nb-vostro-3510-i5-1135g7-8gb-1-tb-ssd-2gb-mx350-15-6-win11-pro-dizustu-bilgisayar-n8064vn3510-uz50-canta-mouse-pm-HBC000049POMT
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Belirtilmemiş,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,12 MB Cache,12.Nesil,1235U,1235U,Windows 11 Home,Var,Q Türkçe,"4,4 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Koyu Gri,256 GB,Notebook,Var,Lenovo,12.869,https://www.hepsiburada.com//lenovo-ideapad-3-82rk00hptx-intel-core-i5-1235u-8gb-ddr4-256gb-ssd-intel-iris-xe-graphics-15-6-fhd-ips-windows11-home-dizustu-bilgisayar-pm-HBC00004EGKUK
4800 MHz,Var,2 - 4 kg,Yok,"17,3 inç",GDDR6,16 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 4090,IPS,Yok,Yok,Var,36 MB Cache,13.Nesil,Intel Core i9,13900HX,Yok (Free Dos),Yok,Q Türkçe,"5,4 GHz",1920 x 1080,Yok,Yok,64 GB,DDR5,Siyah,2 TB,Oyun Bilgisayarları,Var,HP,124.999,https://www.hepsiburada.com//hp-omen-17-ck2003nt-intel-core-i9-13900hx-64gb-2tb-geforce-rtx-4090-17-3-fhd-freedos-7p651ea-tasinabilir-dizustu-bilgisayar-pm-HBC00003Y1Q3P
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,6 GB,Harici Ekran Kartı,Nvidia GeForce RTX 3060,IPS,Yok,Yok,Var,24 MB Cache,11.Nesil,Intel Core i7,11800H,Yok (Free Dos),Yok,Q Türkçe,"4,6 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Siyah,512 GB,Oyun Bilgisayarları,Var,Acer,36.999,https://www.hepsiburada.com//acer-nitro-5-an515-57-15-6-fhd-144hz-i7-11800h-16gb-512gb-ssd-geforce-nvidia-rtx3060-6gbdos-dizustu-bilgisayar-nh-qewey-003h1-pm-HBC000046OLCC
Belirtilmemiş,Var,1 - 2 kg,Belirtilmemiş,14 inç,Onboard,Belirtilmemiş,Dahili Ekran Kartı,Intel UHD Graphics,IPS,512 GB,512 GB,Belirtilmemiş,8 MB Cache,11.Nesil,Intel Core i5,1135G7,Windows 11 Home,Belirtilmemiş,Q Türkçe,"4,2 GHz",1920 x 1080,Yok,Belirtilmemiş,8 GB,DDR4,Gri,512 GB,Notebook,Var,Asus,12.399,https://www.hepsiburada.com//asus-x415ea-eb520w-core-intel-core-i5-1135g7-islemci-8gb-ram-512gb-ssd-14-full-hd-numberpad-windwos-11-laptop-gri-pm-HBC00002IEX6J
4800 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Harici Ekran Kartı,Nvidia GeForce RTX 3050,IPS,Yok,Yok,Var,16 MB Cache,12.Nesil,12500H,12500H,Yok (Free Dos),Var,Aydınlatmalı,"4,2 GHz",1920 x 1080,Yok,Yok,16 GB,DDR5,Siyah,512 GB,Oyun Bilgisayarları,Var,HP,20.999,https://www.hepsiburada.com//hp-victus-68p33ea-16512-intel-core-i5-12500h-16gb-512gb-ssd-rtx3050-4gd6-16-1-fhd-ips-144hz-freedos-dizustu-bilgisayar-pm-HBC0000496XG8
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,AMD Radeon Graphics,TN,Yok,Yok,Var,11 MB Cache,4.Nesil,AMD Ryzen 5,4600H,Yok (Free Dos),Yok,Q Türkçe,"4,0 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Koyu Mavi,1 TB,Notebook,Var,Asus,14.699,https://www.hepsiburada.com//asus-vivobook-15-m1502ia-amd-ryzen-5-4600h-16gb-1tb-ssd-15-6-freedostasinabilir-bilgisayar-ej13236-zettacanta-pm-HBC00003EPCYQ
3200 MHz,Var,1 - 2 kg,Yok,"13,3 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,18 MB Cache,12.Nesil,Intel Core i7,1260P,Windows 11 Home,Yok,Aydınlatmalı,"4,7 GHz",2560 x 1600,Yok,Var,16 GB,LPDDR5,Metalik Gri,2 TB,Notebook,Var,Lenovo,32.339,https://www.hepsiburada.com//lenovo-thinkbook-13s-gen4-iap-intel-core-i7-1260p-16gb-2tb-ssd-windows11home-13-3-wqxga-taisinabilir-bilgisayar-p21ar006qtx06-zettacanta-pm-HBC00003NAQ8S
4800 MHz,Var,2 - 4 kg,Yok,"17,3 inç",GDDR6,8 GB,Harici Ekran Kartı,Nvidia GeForce RTX 4070,IPS,Yok,Yok,Var,30 MB Cache,13.Nesil,Intel Core i7,13700HX,Yok (Free Dos),Var,Q Türkçe,5 GHz,2560 x 1440,Yok,Yok,32 GB,DDR5,Siyah,1 TB,Notebook,Var,HP,55.999,https://www.hepsiburada.com//hp-omen-17-cm2002nt-7p6m4ea-13-nesil-intel-i7-13700hx-32gb-ram-1tb-ssd-8gb-rtx4070-17-3-inc-qhd-165hztasinabilir-bilgisayar-pm-HBC00003YWQRE
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,8 MB Cache,11.Nesil,Intel Core i5,1135G7,Windows 10 Pro,Var,Q Türkçe,"2,4 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Siyah,256 GB,Notebook,Var,Dell,16.786,https://www.hepsiburada.com//dell-vostro-3510-i5-1135g7-16-gb-256-gb-ssd-15-6-fhd-windows-10-pron8004vn3510ubt88-pm-HBC00003JPMTL
3200 MHz,Var,1 - 2 kg,Yok,14 inç,Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,12 MB Cache,12.Nesil,Intel Core i5,1235U,Windows 11 Pro,Yok,Q Türkçe,"4,4 GHz",1920 x 1080,Yok,Var,16 GB,DDR4,Gri,512 GB,Notebook,Var,Lenovo,25.068,https://www.hepsiburada.com//lenovo-thinkpad-e14-gen-4-i5-1235u-16-gb-512-gb-ssd-14-fhd-windows-11-pro-21e30086tx-bt87-pm-HBC00004DMZ5A
2400 MHz,Var,1 - 2 kg,Yok,"15,6 inç",DDR3,Paylaşımlı,Dahili Ekran Kartı,AMD Radeon Graphics,IPS,Yok,Yok,Var,4 MB Cache,3.Nesil,AMD Ryzen 3,3250U,Yok (Free Dos),MicroSD  Card Reader,Q Türkçe,"3,5 GHz",1366 x 768,Yok,Yok,12 GB,DDR4,Gümüş,256 GB,Notebook,Var,Asus,8.399,https://www.hepsiburada.com//asus-d515da-br998-12-amd-ryzen-3-3250u-12gb-256gb-ssd-freedos-15-6-hd-pm-HBC000032W2FR
3200 MHz,Var,1 - 2 kg,Yok,14 inç,Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,12 MB Cache,12.Nesil,Intel Core i7,1255U,Windows 11 Pro,Belirtilmemiş,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Var,16 GB,DDR4,Gümüş,512 GB,Notebook,Var,HP,25.006,https://www.hepsiburada.com//hp-probook-440-g9-5y3z3ea-intel-core-i7-1255u-16gb-512gb-ssd-14-windows-11-pro-pm-HBC000030TF7M
3200 MHz,Var,1 - 2 kg,Yok,14 inç,Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,12 MB Cache,12.Nesil,Intel Core i5,1255U,Windows 11 Pro,Var,Q Türkçe,"3,5 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Siyah,512 GB,Notebook,Var,Dell,30.513,https://www.hepsiburada.com//dell-latitude-5430-i7-1255u-16-gb-512-gb-ssd-iris-xe-14-fhd-windows-11-pro-n213l5430mlk14v-p-ubt68-pm-HBC00003FY5KW
4800 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,6 GB,Harici Ekran Kartı,Nvidia GeForce RTX 4050,IPS,Yok,Yok,Var,24 MB,13.Nesil,Intel Core i7,13650HX,Windows 11 Home,Belirtilmemiş,Q Türkçe,"4,9 GHz",1920 x 1080,Yok,Yok,16 GB,DDR5,Siyah,512 GB,Oyun Bilgisayarları,Var,Dell,41.599,https://www.hepsiburada.com//dell-gaming-g15-5530-g155530010wh-intel-core-i7-13650hx-16gb-ddr5-512gb-ssd-rtx-4050-6gb-15-6-inc-full-hd-windows-11-home-tasinabilir-oyuncu-bilgisayari-pm-HBC0000497O46
4800 MHz,Var,2 - 4 kg,Yok,16 inç,GDDR6,8 GB,Harici Ekran Kartı,Nvidia GeForce RTX 4060,IPS,Yok,Belirtilmemiş,Var,24 MB,13.Nesil,Intel Core i7,13650HX,Windows 11 Home,Belirtilmemiş,Q Türkçe,"4,9 GHz",2560 x 1600,Yok,Yok,16 GB,DDR5,Siyah,512 GB,Oyun Bilgisayarları,Var,Dell,48.799,https://www.hepsiburada.com//dell-gaming-g16-7630-g167630005wh-intel-core-i7-13650hx-16gb-ddr5-512gb-ssd-rtx-4060-8gb-16-inc-qhd-windows-11-home-tasinabilir-oyuncu-bilgisayari-pm-HBC0000497RZN
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Paylaşımlı,TN,Yok,Yok,Var,4 MB Cache,Ryzen,AMD Ryzen 7,3700U,Linux,Var,Q Türkçe,4 GHz,1920 x 1080,Yok,Yok,8 GB,DDR4,Gri,512 GB,Notebook,Var,Dell,12.899,https://www.hepsiburada.com//dell-vostro-3515-f6270-ryzen-7-3700u-8gb-512gb-ssd-radeon-vega-10-15-6-fhd-ubuntu-pm-HBC00000YU0T0
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",GDDR5,2 GB,Harici Ekran Kartı,Nvidia GeForce MX330,LED,Yok,Yok,Var,6 MB Cache,10. Nesil,Intel Core i5,1035G1,Windows 10 Home Single Language,Yok,Q Türkçe,"3,6 GHz",1920 x 1080,Yok,Yok,12 GB,DDR4,Siyah,1 TB,Notebook,Belirtilmemiş,Acer,13.276,https://www.hepsiburada.com//acer-aspire-3-a315-57g-i5-1035g1-12gb-1-tbssd-2gb-mx330-15-6-fhd-windows-10-home-single-language-nx-hzrey-007bt10-pm-HBC000044XU2J
3200 MHz,Var,1 - 2 kg,Yok,14 inç,Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,12 MB Cache,12.Nesil,Intel Core i5,1235U,Windows 10 Home,Yok,Q Türkçe,"4,4 GHz",1920 x 1080,Yok,Var,16 GB,DDR4,"Gri, SL",512 GB,Notebook,Var,HP,21.271,https://www.hepsiburada.com//hp-probook-440-g9-i5-1235u-16-gb-512gb-ssd-14-fhd-freedos-6s6w5eabt8-pm-HBC000047UD4K
Belirtilmemiş,Var,1 - 2 kg,Yok,"15,6 inç",Belirtilmemiş,Paylaşımlı,Dahili Ekran Kartı,Paylaşımlı,LED,128 GB,128 GB,Var,Belirtilmemiş,İntel N Serisi,Intel Celeron,Belirtilmemiş,Windows 11 Home,Belirtilmemiş,Q İngilizce,"1,1 GHz",1920 x 1080,Belirtilmemiş,Yok,4 GB,DDR4,Gümüş,128 GB,Notebook,Var,Acer,5.790,https://www.hepsiburada.com//acer-aspire-3-a315-35-intel-celeron4500-1-10ghz-uhd-graphics-4gb-ram-128ssd-15-6-fhd-pc-nx-a6ley-007-pm-HBC00004HVI07
3200 MHz,Var,2 kg ve Altı,Yok,"15,6 inç",GDDR5,2 GB,Harici Ekran Kartı,Nvidia GeForce MX450,IPS,Yok,Yok,Var,12 MB Cache,11.Nesil,Intel Core i7,1165G7,Windows 10 Pro,Yok,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Var,32 GB,DDR4,Siyah,1 TB,Notebook,Var,Lenovo,30.001,https://www.hepsiburada.com//lenovo-thinkpad-e15-intel-core-i7-1165g7-32-gb-1-tb-2gb-mx450-15-6-windows-10-pro-20td002mtx011-pm-HBC00003CT1KD
3200 MHz,Var,1 - 2 kg,Yok,16 inç,GDDR6,2 GB,Harici Ekran Kartı,Nvidia GeForce MX550,IPS,Yok,Yok,Var,18 MB Cache,12.Nesil,Intel Core i7,1260P,Yok (Free Dos),Yok,Q Türkçe,"4,7 GHz",2560 x 1600,Yok,Var,32 GB,DDR4,Siyah,512 GB,Notebook,Var,Lenovo,34.999,https://www.hepsiburada.com//lenovo-thinkpad-t16-i7-1260p-32gb-512gb-ssd-16-fhd-geforce-mx550-2gb-fdos-21bv00g0tx014-pm-HBC000047695M
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,8 MB Cache,11.Nesil,Intel Core i5,1135G7,Yok (Free Dos),Var,Aydınlatmalı,"4,2 GHz",1920 x 1080,Yok,Var,32 GB,DDR4,Siyah,1 TB,Notebook,Var,Lenovo,22.714,https://www.hepsiburada.com//lenovo-thinkpad-l15-g2-i5-1135g7-32-gb-1-tb-ssd-free-dos-15-6-fhd-20x300ghtx034-pm-HBC00003GDUSD
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",GDDR6,Paylaşımlı,Harici Ekran Kartı,Nvidia GeForce MX550,IPS,Yok,Belirtilmemiş,Var,12 MB Cache,12.Nesil,Intel Core i7,1255U,Windows 10 Home,Belirtilmemiş,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Siyah,512 GB,Notebook,Var,Lenovo,31.149,https://www.hepsiburada.com//lenovo-thinkpad-e15-gen4-i7-1255u-mx550-2gb-16gb-512gb-ssd-15-6-w10-home-21e60076txa4-pm-HBC00003SG6TT
3200 MHz,Var,1 - 2 kg,Yok,14 inç,Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,12 MB Cache,12.Nesil,Intel Core i5,1255U,Windows 11 Pro,Var,Q Türkçe,"3,5 GHz",1920 x 1080,Yok,Yok,32 GB,DDR4,Siyah,2 TB,Notebook,Var,Dell,33.970,https://www.hepsiburada.com//dell-latitude-5430-i7-1255u-32-gb-2-tbssd-iris-xe-14-fhd-windows-11-pro-n213l5430mlk14v-p-ubt80-pm-HBC00003FY5TL
2933 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Harici Ekran Kartı,Nvidia GeForce GTX1650 Ti,IPS,Yok,Yok,Yok,12 MB Cache,10. Nesil,Intel Core i7,10750H,Windows 10 Pro,Var,Q Türkçe,5 GHz,1920 x 1080,Yok,Var,16 GB,DDR4,Gümüş,1 TB,Notebook,Var,Dell,32.499,https://www.hepsiburada.com//dell-xps-15-9500-fs750w161n-i7-10750h-16gb-1tb-4gb-gtx1650ti-15-6-w10pro-pm-HBC0000408VDB
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel UHD Graphics,TN,Yok,Yok,Var,12 MB Cache,12.Nesil,Intel Core i3,1235U,Windows 11 Home,Var,Q Türkçe,"4,4 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Gri,256 GB,Notebook,Var,Asus,12.443,https://www.hepsiburada.com//asus-expertbook-b1-i3-1215u-16-gb-256-gb-ssd-15-6-fhd-windows-11-home-b1502cba-ej0253-bt62-pm-HBC00004DMYAG
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Belirtilmemiş,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Belirtilmemiş,Var,12 MB L3 Cache,12.Nesil,1255U,1255U,Yok (Free Dos),Belirtilmemiş,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Gümüş,512 GB,Notebook,Var,HP,23.499,https://www.hepsiburada.com//hp-probook-450-g9-6s6z0ea-intel-core-i7-1255u-16gb-512gb-ssd-15-6-fdos-pm-HBC0000313JPV
Belirtilmemiş,Var,1 - 2 kg,Belirtilmemiş,"15,6 inç",Belirtilmemiş,Belirtilmemiş,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,512 GB,Belirtilmemiş,Belirtilmemiş,Yok,Intel Core i5,1155G7,Windows 11 Home,Var,Q Türkçe,"2,5 GHz",1920 x 1080,Belirtilmemiş,Belirtilmemiş,8 GB,LPDDR4,Gümüş,512 GB,Notebook,Belirtilmemiş,Huawei,13.599,https://www.hepsiburada.com//huawei-matebook-d15-i5-1155g7-islemci-8gb-ram-512gb-ssd-15-6-inc-win-11-laptop-mistik-gumus-1226692-pm-HBC00003WO3V0
4800 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Harici Ekran Kartı,Nvidia GeForce RTX 3050,TN,Yok,Yok,Var,20 MB Cache,Ryzen,AMD Ryzen 7,6800H,Windows 11 Home,Yok,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Belirtilmemiş,16 GB,DDR5,Siyah,512 GB,Oyun Bilgisayarları,Var,Dell,25.999,https://www.hepsiburada.com//dell-g15-5525-ryzen-7-6800h-16gb-512gb-ssd-4gb-rtx3050-15-6-fhd-windows-11-g55251500-pm-HBC00004CA0DE
Belirtilmemiş,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Paylaşımlı,IPS,Yok,Yok,Var,24 MB Cache,7.Nesil,Intel Core i7,7Y57,Windows 11 Home,Yok,Q Türkçe,Yok,1920 x 1080,Yok,Yok,8 GB,DDR,Siyah,256 GB,Notebook,Var,I-Life,18.650,https://www.hepsiburada.com//i-life-zed-air-cx7-i7-7y75-8-gb-256-gb-ssd-15-6-siyah-windows-11-home-ntbtilwbi71582563-pm-HBC000047O4E7
2666 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,WVA,Yok,Yok,Var,12 MB Cache,Yok,Intel Core i7,1255U,Windows 10 Pro,Var,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Belirtilmemiş,24 GB,DDR4,Belirtilmemiş,1 TB,Notebook,Var,Dell,25.000,https://www.hepsiburada.com//dell-vostro-3520-i7-1255u-24-gb-1-tb-ssd-15-6-fhd-windows-10-pro-n5305pvnb3520ubt64-pm-HBC00003ZJGHU
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel UHD Graphics,IPS,Yok,Yok,Var,12 MB Cache,12.Nesil,Intel Core i5,1235U,Yok (Free Dos),Yok,Aydınlatmalı,"4,3 GHz",1920 x 1080,Yok,Var,16 GB,DDR4,Siyah,512 GB,Notebook,Var,Lenovo,22.999,https://www.hepsiburada.com//lenovo-thinkpad-e15-gen4-i5-1235u-16gb-512gb-ssd-15-6-fhd-freedos-21e600ewtx022-pm-HBC00004CUUTO
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,LED,Yok,Belirtilmemiş,Var,12 MB Cache,12.Nesil,Intel Core i5,1235U,Yok (Free Dos),Var,Aydınlatmalı,"4,4 GHz",1920 x 1080,Belirtilmemiş,Yok,16 GB,DDR5,Gümüş,512 GB,Notebook,Var,HP,20.999,https://www.hepsiburada.com//hp-probook-450-g9-6f1f3eaam-i5-1235u-1x16gb-ram-512gb-nvme-ssd-freedos-pm-HBC00004CRU5T
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel UHD Graphics,WVA,Yok,Yok,Var,8 MB Cache,11.Nesil,Intel Core i5,1135G7,Windows 11 Pro,Belirtilmemiş,Q Türkçe,"4,5 GHz",1920 x 1080,Yok,Yok,12 GB,DDR4,Siyah,512 GB,Notebook,Var,Dell,16.599,https://www.hepsiburada.com//dell-inspiron-3511-intel-core-i5-1135g7-12gb-512gb-ssd-w11-pro-15-6-fhd-3511i51285ua6-pm-HBC00003V7HE4
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,12 MB Cache,12.Nesil,1235U,1235U,Yok (Free Dos),Yok,Q Türkçe,"4,4 GHz",1920 x 1080,Yok,Var,16 GB,DDR4,Siyah,512 GB,Notebook,Var,Lenovo,22.879,https://www.hepsiburada.com//lenovo-thinkpad-e15-g4-i5-1235u-16gb-512gb-ssd-15-6-free-dos-fhd-21e6006vtx-pm-HBC00004A3D38
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,WVA,Yok,Yok,Var,8 MB Cache,11.Nesil,Intel Core i5,1135G7,Linux,Var,Q Türkçe,"4,2 GHz",1920 x 1080,Yok,Belirtilmemiş,8 GB,DDR4,Siyah,512 GB,Notebook,Var,Dell,12.819,https://www.hepsiburada.com//dell-vostro-3510-i5-1135g7-8gb-512gb-ssd-15-6-fhd-ubuntu-n8066vn3510-u-pm-HBC000028BMZ6
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Irıs Graphics,WVA,Yok,Yok,Var,12 MB Cache,11.Nesil,Intel Core i7,1165G7,Windows 11 Pro,Yok,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Siyah,512 GB,Notebook,Var,Dell,19.250,https://www.hepsiburada.com//dell-inspiron-3511-intel-core-i7-1165g7-16gb-512-gb-ssd-15-6-fhd-w11pro-3511t43-pm-HBC00003N6NYF
